kind,N,Filter,phase bin,p_16,p_50,p_84
fast,155,I,0.42500000000000004,13.428072761481424,13.543598757699968,13.657491106871506
fast,155,I,0.475,13.76863051456821,13.875530791763168,13.977157849163484
fast,155,I,0.525,14.072503687997884,14.160293315512902,14.239687355354835
fast,155,I,0.575,14.309887970356685,14.369956417134269,14.419330359495167
fast,155,I,0.625,14.45750037487648,14.483956042544541,14.498467221198748
fast,155,I,0.675,14.469336084939146,14.4911109469552,14.500862867767093
fast,155,I,0.725,14.334794173837171,14.390719367203726,14.43572239428466
fast,155,I,0.775,14.108037549168738,14.192627851678917,14.268468024367133
fast,155,I,0.825,13.811306821977182,13.916265496903147,14.015504303601977
fast,155,I,0.875,13.473705762428954,13.588738314215991,13.701642272151027
fast,155,I,0.925,13.128346760798022,13.242170633775011,13.35766596277618
fast,155,I,0.975,12.809103117310197,12.910554304736308,13.017313059287613
fast,155,b'zg',0.0245,14.830462788743478,14.83665230575021,14.842131346957267
fast,155,b'zg',0.07500000000000001,14.808332837250319,14.816220485023313,14.82362168809418
fast,155,b'zg',0.125,14.782625217976545,14.791437364846068,14.800034809296646
fast,155,b'zg',0.175,14.755861370646151,14.764733708761138,14.773684145057834
fast,155,b'zg',0.225,14.730666331327516,14.738728649194261,14.747154205863042
fast,155,b'zg',0.275,14.70951126517635,14.71597279923483,14.723047085739292
fast,155,b'zg',0.32499999999999996,14.694471091055782,14.698698084890065,14.703727245186158
fast,155,b'zg',0.375,14.687020970554272,14.688598834619786,14.69108960153975
fast,155,b'zg',0.42500000000000004,14.686383828434268,14.686665597200317,14.687891622046823
fast,155,b'zg',0.475,14.69004200392653,14.693087987297005,14.69699765080141
fast,155,b'zg',0.525,14.701734799817984,14.707236087789157,14.713445924615273
fast,155,b'zg',0.575,14.720305214481009,14.727722232933786,14.735623173486866
fast,155,b'zg',0.625,14.743931835332676,14.752537112587891,14.761354221423494
fast,155,b'zg',0.675,14.770297329922833,14.779246848194315,14.788115330784715
fast,155,b'zg',0.725,14.796815733184307,14.805231711039237,14.813281734046042
fast,155,b'zg',0.775,14.820886082550764,14.827943068956374,14.834385074716842
fast,155,b'zg',0.825,14.840147524050604,14.84515335978105,14.849355507242391
fast,155,b'zg',0.875,14.852710868209613,14.855174573803584,14.85672471038869
fast,155,b'zg',0.925,14.85576990226958,14.8570238161534,14.857324019384338
fast,155,b'zg',0.975,14.846584731818272,14.850519710520595,14.853592159920407
fast,155,b'zr',0.0245,13.262748931634825,13.28951074223544,13.316464145877823
fast,155,b'zr',0.07500000000000001,13.186490865019705,13.210939503538672,13.236441254054384
fast,155,b'zr',0.125,13.122050954010756,13.141788463340387,13.163337312904922
fast,155,b'zr',0.175,13.075749556385896,13.088840053644681,13.104322460559766
fast,155,b'zr',0.225,13.052127978829512,13.057287529498133,13.065184957356216
fast,155,b'zr',0.275,13.049697582716217,13.050397748184057,13.053503059138208
fast,155,b'zr',0.32499999999999996,13.059570545495713,13.068346930027026,13.07973992748693
fast,155,b'zr',0.375,13.093644306309207,13.109874133028313,13.128265234652506
fast,155,b'zr',0.42500000000000004,13.148642744763285,13.17073416926922,13.194319549751691
fast,155,b'zr',0.475,13.219171536086018,13.244957800161474,13.271424171965922
fast,155,b'zr',0.525,13.298313116490863,13.325265066818265,13.352016570697394
fast,155,b'zr',0.575,13.378305167634482,13.403779318736971,13.428192129285595
fast,155,b'zr',0.625,13.451301955798414,13.472799766841046,13.49247944100957
fast,155,b'zr',0.675,13.510143852568985,13.525556787784033,13.538573115245498
fast,155,b'zr',0.725,13.549059561336714,13.5568758981994,13.561952219113298
fast,155,b'zr',0.775,13.560323696979315,13.563569620458278,13.564282732799876
fast,155,b'zr',0.825,13.533847276601932,13.545317045908353,13.554173539922132
fast,155,b'zr',0.875,13.485119802806715,13.503572791812607,13.519870223474065
fast,155,b'zr',0.925,13.418920535266402,13.442546848663667,13.464686742783305
fast,155,b'zr',0.975,13.341742391940366,13.36822472743442,13.39403557182654
